id;status;time_created;time_modified;user_id;mailing_list_id
1;Unsubscribed;2021-07-12T07:07:14;2021-07-12T10:56:16;1;1
2;Verified;2021-07-12T15:05:35;2021-07-12T11:24:18;2;2
3;Unsubscribed;2021-07-11T23:21:23;2021-07-12T01:32:35;3;3
4;Verified;2021-07-12T01:01:58;2021-07-12T10:37:00;4;4
5;Unverified;2021-07-12T16:06:40;2021-07-12T10:56:49;5;5
6;Unverified;2021-07-12T06:20:04;2021-07-12T02:44:04;6;6
7;Unsubscribed;2021-07-12T01:24:33;2021-07-12T18:30:50;7;7
8;Verified;2021-07-12T13:50:30;2021-07-12T18:22:53;8;8
9;Unverified;2021-07-12T01:04:54;2021-07-12T10:39:01;9;9
10;Unverified;2021-07-12T11:06:04;2021-07-12T08:41:11;10;10
